F_nu	f_c(W1)	f_c(W2)	f_c(W3)	f_c(W4)	[W1 - W2]	[W2 - W3]	[W3 - W4]
nu^3	1.0283	1.0206	1.1344	1.0142	-0.4040	-0.9624	-0.8684
nu^2	1.0084	1.0066	1.0088	1.0013	-0.0538	-0.0748	-0.0519
nu^1	0.9961	0.9976	0.9393	0.9934	0.2939	0.8575	0.7200
nu^0	0.9907	0.9935	0.9169	0.9905	0.6393	1.8357	1.4458
nu^-1	0.9921	0.9943	0.9373	0.9926	0.9828	2.8586	2.1272
nu^-2	1.0000	1.0000	1.0000	1.0000	1.3246	3.9225	2.7680
nu^-3	1.0142	1.0107	1.1081	1.0130	1.6649	5.0223	3.3734
nu^-4	1.0347	1.0265	1.2687	1.0319	2.0041	6.1524	3.9495
B_nu(100)	17.2062	3.9096	2.6588	1.0032	10.6511	18.9307	4.6367
B_nu(141)	4.0882	1.9739	1.4002	0.9852	7.7894	13.0371	3.4496
B_nu(200)	2.0577	1.3448	1.0006	0.9833	5.4702	8.8172	2.4949
B_nu(283)	1.3917	1.1124	0.8791	0.9865	3.8329	5.8986	1.7552
B_nu(400)	1.1316	1.0229	0.8622	0.9903	2.6588	3.8930	1.2014
B_nu(566)	1.0263	0.9919	0.8833	0.9935	1.8069	2.5293	0.8041
B_nu(800)	0.9884	0.9853	0.9125	0.9958	1.1996	1.6282	0.5311
B_nu(1131)	0.9801	0.9877	0.9386	0.9975	0.7774	1.0421	0.3463
K2V	1.0038	1.0512	1.0030	1.0013	-0.0963	0.1225	-0.0201
G2V	1.0049	1.0193	1.0024	1.0012	-0.0268	0.0397	-0.0217
